tsaEligible,damagedStateAbbreviation,residenceType,grossIncome,repairAmount,destroyed,waterLevel
1,PR,House/Duplex,36000.0,,0,0.0
0,FL,House/Duplex,32140.0,,0,
1,PR,House/Duplex,6000.0,16715.81,0,0.0
1,FL,House/Duplex,,,0,0.0
1,FL,House/Duplex,25400.0,,0,0.0
0,FL,Condo,,,0,
0,FL,House/Duplex,28000.0,,0,0.0
0,NC,House/Duplex,45000.0,586.33,0,0.0
1,PR,House/Duplex,48000.0,,0,0.0
0,LA,House/Duplex,70000.0,,0,
0,FL,House/Duplex,,,0,0.0
0,LA,House/Duplex,90000.0,,0,
0,LA,House/Duplex,23604.0,,0,0.0
1,FL,House/Duplex,30000.0,,0,
0,TX,House/Duplex,63000.0,,0,
0,FL,House/Duplex,26000.0,,0,
0,LA,Condo,75000.0,,0,0.0
1,TX,Apartment,12240.0,,0,3.0
0,FL,House/Duplex,,,0,
1,TX,House/Duplex,0.0,,0,0.0
1,FL,Other,32000.0,,0,
1,FL,Townhouse,57000.0,,0,0.0
0,FL,House/Duplex,36000.0,,0,
1,PR,House/Duplex,22800.0,,0,0.0
1,FL,Apartment,27000.0,,0,0.0
0,LA,House/Duplex,250000.0,,0,
1,FL,Apartment,18000.0,,0,
0,TX,Apartment,,,0,6.0
0,FL,Apartment,3100.0,,0,0.0
0,FL,Mobile Home,29200.0,,0,
0,TX,House/Duplex,108000.0,,0,
0,TX,House/Duplex,36000.0,,0,
1,FL,House/Duplex,,,0,
0,FL,House/Duplex,8800.0,,0,0.0
0,LA,House/Duplex,1.0,,0,0.0
1,TX,House/Duplex,58857.0,,0,0.0
0,NC,Mobile Home,1680.0,,0,0.0
1,LA,Apartment,20000.0,,0,0.0
0,TX,Other,40000.0,,0,
0,PR,House/Duplex,10875.0,,0,
0,FL,House/Duplex,60000.0,,0,
1,FL,Condo,,,0,
0,FL,House/Duplex,,,0,
0,TX,Mobile Home,,,0,0.0
0,FL,Apartment,21000.0,,0,0.0
0,FL,House/Duplex,10600.0,,0,
1,TX,Travel Trailer,10000.0,977.4,0,0.0
0,LA,Apartment,77000.0,,0,
1,FL,House/Duplex,82000.0,499.5,0,0.0
1,LA,House/Duplex,90000.0,,0,
0,TX,House/Duplex,,,0,
1,PR,House/Duplex,22000.0,,0,0.0
0,TX,Apartment,41000.0,,0,
0,FL,House/Duplex,166000.0,,0,
0,TX,House/Duplex,77775.0,,0,96.0
1,FL,House/Duplex,49892.0,,0,0.0
0,FL,Apartment,14000.0,,0,0.0
0,FL,Apartment,,,0,0.0
1,TX,House/Duplex,,,0,
0,LA,House/Duplex,10800.0,3264.58,0,0.0
0,LA,Apartment,2500.0,,0,0.0
1,FL,House/Duplex,,,0,0.0
0,LA,Apartment,53400.0,,0,
1,FL,House/Duplex,15000.0,,0,
0,FL,House/Duplex,34628.0,,0,
1,LA,House/Duplex,50000.0,,0,
1,PR,Townhouse,4920.0,,0,0.0
0,TX,House/Duplex,15921.0,,0,0.0
0,TX,House/Duplex,21500.0,,0,
1,FL,Apartment,40000.0,,0,
1,FL,Apartment,,,0,
0,TX,House/Duplex,80000.0,,0,
0,FL,House/Duplex,150000.0,,0,
0,TX,House/Duplex,28800.0,,0,0.0
0,LA,House/Duplex,130000.0,,0,
1,PR,Townhouse,25100.0,,0,
0,FL,Condo,13744.0,,0,
1,FL,House/Duplex,,,0,
0,FL,House/Duplex,14000.0,,0,
0,FL,Other,,,0,
0,TX,Apartment,,,0,0.0
1,TX,House/Duplex,90000.0,1526.83,0,43.0
1,FL,House/Duplex,33000.0,,0,0.0
0,FL,House/Duplex,,,0,
0,LA,House/Duplex,,,0,
0,FL,House/Duplex,28000.0,,0,0.0
0,TX,House/Duplex,24000.0,,0,
0,FL,House/Duplex,1700.0,,0,0.0
1,LA,House/Duplex,55000.0,,0,0.0
0,FL,House/Duplex,89000.0,,0,
0,FL,House/Duplex,10000.0,,0,
0,FL,House/Duplex,24000.0,,0,
0,FL,House/Duplex,44500.0,,0,
0,LA,Apartment,20000.0,,0,
0,LA,House/Duplex,24000.0,,0,
1,FL,Apartment,8400.0,,0,0.0
0,FL,House/Duplex,16000.0,,0,
1,PR,House/Duplex,45000.0,,0,0.0
0,TX,House/Duplex,23000.0,3523.02,0,0.0
0,FL,House/Duplex,2000.0,,0,
1,FL,Apartment,28000.0,,0,
1,LA,Apartment,900.0,,0,0.0
0,FL,House/Duplex,30000.0,,0,
1,TX,Apartment,72000.0,,0,0.0
1,LA,House/Duplex,11640.0,,0,0.0
1,LA,House/Duplex,80000.0,,0,
1,FL,Apartment,10800.0,,0,
0,FL,House/Duplex,57500.0,,0,
0,LA,House/Duplex,,,0,0.0
0,TX,Other,,,0,
0,FL,Mobile Home,100000.0,,0,0.0
0,LA,House/Duplex,54000.0,,0,
1,FL,House/Duplex,9000.0,,0,0.0
1,TX,House/Duplex,98000.0,26659.85,0,26.0
1,FL,House/Duplex,34000.0,,0,0.0
1,PR,House/Duplex,0.0,,0,0.0
0,TX,Apartment,20000.0,,0,
0,TX,Apartment,,,0,
0,TX,House/Duplex,21000.0,,0,
0,FL,Apartment,44803.0,,0,
1,FL,House/Duplex,,,0,
1,LA,House/Duplex,3000.0,,0,0.0
0,TX,Other,8400.0,,0,
0,FL,House/Duplex,38700.0,,0,
1,TX,House/Duplex,,,0,0.0
0,TX,House/Duplex,45000.0,,0,
1,PR,House/Duplex,36000.0,,0,0.0
0,TX,House/Duplex,15600.0,860.54,0,0.0
0,LA,House/Duplex,251522.0,,0,
0,LA,House/Duplex,20000.0,,0,0.0
0,FL,Townhouse,31928.0,,0,0.0
0,FL,Apartment,46000.0,,0,
1,LA,House/Duplex,65000.0,,0,
1,PR,Townhouse,40000.0,,0,
1,FL,Other,35000.0,,0,
1,PR,Townhouse,20000.0,,0,
1,PR,Townhouse,21300.0,,0,
1,PR,House/Duplex,89700.0,,0,0.0
0,FL,House/Duplex,58000.0,,0,
0,FL,House/Duplex,15000.0,,0,
1,FL,Condo,0.0,,0,
0,LA,Mobile Home,,,0,15.0
1,FL,House/Duplex,18000.0,,0,0.0
1,PR,House/Duplex,50000.0,,0,0.0
1,PR,Townhouse,38000.0,,0,0.0
0,FL,House/Duplex,31173.0,,0,
1,PR,House/Duplex,2500.0,,0,0.0
0,TX,Apartment,26235.0,,0,
0,FL,House/Duplex,,15000.0,0,0.0
0,FL,House/Duplex,66000.0,,0,0.0
1,PR,Condo,26000.0,,0,
0,TX,House/Duplex,33048.0,,0,
1,TX,House/Duplex,25100.0,,0,0.0
0,FL,House/Duplex,95000.0,,0,
0,LA,House/Duplex,10404.0,,0,0.0
0,LA,Mobile Home,60000.0,,0,
1,LA,House/Duplex,9600.0,,0,0.0
1,PR,Townhouse,70000.0,,0,
0,LA,Apartment,,,0,
1,PR,Apartment,3386.0,,0,0.0
0,FL,Apartment,22000.0,,0,
0,TX,House/Duplex,53000.0,,0,
